,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
147,108年01月23日 18時55分21秒,桃園市蘆竹區南竹路2段125號號前0.0公尺南側,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.284277,25.041105
154,108年01月24日 10時56分53秒,桃園市中壢區月眉路2段176號前0.0公尺,死亡1;受傷0,普通重型-機車,121.182234,25.006139
164,108年01月25日 12時17分00秒,桃園市新屋區大坡里大坡路362號前50.0公尺附近,死亡1;受傷0,普通重型-機車,121.057167,24.959107
184,108年01月29日 05時36分00秒,桃園市大溪區復興路2段口 / 桃園市大溪區環湖路口,死亡1;受傷2,普通重型-機車;行人-人;乘客-人,121.288522,24.819576
237,108年02月09日 22時15分00秒,桃園市平鎮區中山路92號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,121.25493,24.927756
243,108年02月11日 01時29分39秒,桃園市中壢區環中東路口 / 桃園市中壢區新中北路口,死亡1;受傷0,自用-小客車;行人-人,121.24823,24.957086
249,108年02月11日 14時45分20秒,桃園市平鎮區平東路1段口 / 桃園市平鎮區廟前路口,死亡1;受傷0,營業用-曳引車;行人-人;營業用-曳引車,121.254504,24.918772
263,108年02月14日 08時21分00秒,桃園市大溪區員林路3段口 / 桃園市大溪區員林路3段口,死亡1;受傷1,普通重型-機車;普通重型-機車,121.26178,24.880141
302,108年02月21日 12時11分33秒,桃園市觀音區崙坪里忠愛路1段307號前0.0公尺南側,死亡1;受傷0,自用-小貨車(含客、貨兩用);大型重型1(550C.C.以上)-機車;自用-小客車,121.162019,24.996761
303,108年02月21日 17時30分00秒,桃園市蘆竹區八德一路口 / 桃園市蘆竹區寶順街口,死亡1;受傷0,自用-小客車;普通重型-機車,121.344561,25.065861
308,108年02月22日 19時46分58秒,桃園市中壢區中華路1段口 / 桃園市中壢區復華街口,死亡1;受傷0,自用-小客車;普通重型-機車;營業用-曳引車,121.248015,24.968343
312,108年02月24日 00時38分00秒,桃園市蘆竹區國道2號 8公里300.0公尺處西側,死亡1;受傷0,自用-小貨車(含客、貨兩用),121.266917,25.026494
315,108年02月25日 11時18分00秒,桃園市大溪區東龍街780巷前0.0公尺附近,死亡1;受傷1,自用-小客車;自用-小客車,121.251089,24.895852
318,108年02月26日 06時16分00秒,桃園市桃園區豐林里介壽路46號前,死亡1;受傷1,行人-人;普通重型-機車,121.310845,24.986188
324,108年02月26日 22時07分00秒,桃園市八德區介壽路二段1352巷前0.0公尺附近,死亡1;受傷2,普通重型-機車;腳踏自行車-慢車;普通重型-機車,121.296705,24.927317
335,108年02月28日 13時05分00秒,桃園市平鎮區福龍路1段口 / 桃園市平鎮區福龍路1段口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.229465,24.899587
353,108年03月05日 18時20分00秒,桃園市龍潭區中原路2段312號前0.0公尺,死亡1;受傷0,普通重型-機車;其他特種車-特種車,121.195171,24.839251
358,108年03月06日 12時18分00秒,桃園市新屋區中山西路1段口 / 桃園市新屋區中山西路1段口,死亡1;受傷2,自用-小客車;自用-小貨車(含客、貨兩用);自用-大貨車,121.093516,24.974466
363,108年03月07日 10時48分00秒,桃園市中壢區後興路1段270號前0.0公尺,死亡1;受傷0,普通重型-機車;普通重型-機車;自用-小客車,121.243592,24.941058
383,108年03月12日 17時01分00秒,桃園市大溪區埔頂路2段474巷前0.0公尺附近,死亡1;受傷0,普通重型-機車,121.281456,24.918836
393,108年03月14日 09時53分00秒,桃園市新屋區三民路東側 / 桃園市新屋區中興路東側,死亡1;受傷0,營業用-半聯結車;普通重型-機車,121.100678,24.969576
401,108年03月16日 06時56分00秒,桃園市蘆竹區大竹路口 / 桃園市蘆竹區南竹路5段口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車;自用-小客車,121.257952,25.024994
416,108年03月17日 22時50分11秒,桃園市大園區西濱路與中央北路口,死亡1;受傷0,自用-小客車;行人-人,121.216081,25.105224
438,108年03月22日 14時01分00秒,桃園市平鎮區平東路二段5號之3,死亡1;受傷2,自用-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小客車;乘客-人;乘客-人,121.230669,24.912039
441,108年03月22日 20時40分37秒,桃園市大溪區信義路285號前0.0公尺附近,死亡1;受傷0,自用-小客車,121.297227,24.888241
468,108年03月29日 16時55分19秒,桃園市中壢區山東里月眉路1段口 / 桃園市中壢區山佳二路口,死亡1;受傷2,普通重型-機車;自用-小客車;自用-小客車;乘客-人,121.181153,24.999811
470,108年03月29日 19時30分00秒,桃園市八德區建國路附近 / 桃園市八德區建興街附近,死亡1;受傷4,自用-小客車;行人-人;行人-人;行人-人;行人-人;行人-人;自用-小客車;乘客-人,121.287312,24.934434
471,108年03月29日 22時37分45秒,桃園市中壢區合定路與定康路口附近,死亡1;受傷0,普通重型-機車;自用-大貨車,121.24214,24.987914
479,108年03月31日 14時50分39秒,桃園市蘆竹區大華街212號,死亡1;受傷1,普通重型-機車;乘客-人,121.258233,25.042879
482,108年04月01日 05時18分00秒,桃園市桃園區中正路與南平路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.297751,25.017911
483,108年04月01日 10時31分00秒,桃園市平鎮區福龍路一段金泉幹27號電桿附近,死亡1;受傷0,普通重型-機車,121.226525,24.896404
495,108年04月03日 20時39分00秒,桃園市觀音區大觀路三段,死亡1;受傷0,普通重型-機車,121.12512,25.036985
